mode,batch,context_len,metric,mean,median,std,p50,p90,p95,min,max
quarot_unfused,1,10,prefill_ms,72.15362887912326,72.26930236816406,7.86662754886097,72.26930236816406,78.42328592936198,79.19253387451171,64.22980244954427,79.96178181966145
quarot_unfused,1,10,decode_ms_per_token,117.34563869900174,114.56097412109375,5.855488723157966,114.56097412109375,122.17122802734374,123.122509765625,113.4021504720052,124.07379150390625
quarot_unfused,1,128,prefill_ms,80.98135036892361,80.50306701660156,3.71698571320538,80.50306701660156,84.03207499186198,84.47320098876952,77.52665710449219,84.91432698567708
quarot_unfused,1,128,decode_ms_per_token,116.16510348849826,116.61683146158855,3.871308408800994,116.61683146158855,119.15595092773437,119.4733408610026,112.08774820963542,119.79073079427083
quarot_unfused,1,1024,prefill_ms,225.87127007378473,225.9371337890625,0.13005767742590402,225.9371337890625,225.95160319010418,225.9534118652344,225.7214558919271,225.9552205403646
quarot_unfused,1,1024,decode_ms_per_token,112.34872436523438,112.25789388020833,0.6927181969355112,112.25789388020833,112.91748046875,112.99992879231772,111.70590209960938,113.08237711588542
quarot_unfused,1,4096,prefill_ms,992.329345703125,891.8485514322916,174.62376427562137,891.8485514322916,1133.543408203125,1163.755265299479,891.17236328125,1193.9671223958333
quarot_unfused,1,4096,decode_ms_per_token,117.1647440592448,118.4817606608073,2.5130193420432123,118.4817606608073,118.69276326497396,118.7191385904948,114.26695760091145,118.74551391601562
quarot_unfused,2,10,prefill_ms,69.06891716851129,69.29041544596355,0.5572426968933148,69.29041544596355,69.4431660970052,69.46225992838542,68.43498229980469,69.48135375976562
quarot_unfused,2,10,decode_ms_per_token,134.3603719075521,134.00763956705728,12.489174426410555,134.00763956705728,144.41926879882814,145.72072245279946,122.05130004882812,147.02217610677084
quarot_unfused,2,128,prefill_ms,90.45626152886285,90.34495035807292,0.4008082114837578,90.34495035807292,90.78975830078124,90.84535929361978,90.1228739420573,90.90096028645833
quarot_unfused,2,128,decode_ms_per_token,118.3533698187934,119.50309244791667,6.881813607942193,119.50309244791667,123.570947265625,124.07942911783854,110.96910603841145,124.58791097005208
quarot_unfused,2,1024,prefill_ms,381.4567599826389,381.3494059244792,0.32988023395768845,381.3494059244792,381.7314371744792,381.77919108072916,381.1939290364583,381.8269449869792
quarot_unfused,2,1024,decode_ms_per_token,117.10898166232639,118.4379170735677,2.957564718764904,118.4379170735677,119.02275594075522,119.09586079915364,113.72006225585938,119.16896565755208
quarot_unfused,2,4096,prefill_ms,1740.1699761284722,1739.4851888020833,3.2084424274166987,1739.4851888020833,1742.8294596354167,1743.2474934895833,1737.3592122395833,1743.66552734375
quarot_unfused,2,4096,decode_ms_per_token,133.25391303168402,133.11393229166666,0.29657800782407284,133.11393229166666,133.49844563802083,133.5465098063151,133.05323282877603,133.59457397460938
quarot_unfused,4,10,prefill_ms,72.78610229492188,72.30702718098958,3.011847090758515,72.30702718098958,75.26842447916667,75.6385991414388,70.04250590006511,76.00877380371094
quarot_unfused,4,10,decode_ms_per_token,133.78588189019098,132.97954305013022,9.185117139464785,132.97954305013022,141.27397664388022,142.31078084309897,125.030517578125,143.34758504231772
quarot_unfused,4,128,prefill_ms,125.27427503797743,125.28302001953125,0.08322595240220428,125.28302001953125,125.33883056640624,125.34580688476562,125.18702189127605,125.352783203125
quarot_unfused,4,128,decode_ms_per_token,119.11895073784723,120.0316162109375,3.44659872670996,120.0316162109375,121.62021484374999,121.81878967285155,115.30787150065105,122.01736450195312
quarot_unfused,4,1024,prefill_ms,761.0965711805555,760.8907063802084,0.5060382746511072,760.8907063802084,761.5166178385416,761.5948567708333,760.7259114583334,761.673095703125
quarot_unfused,4,1024,decode_ms_per_token,123.19209459092882,119.61288452148438,9.943592524319989,119.61288452148438,131.4664326985677,132.9481262207031,115.53357950846355,134.42981974283853
quarot_unfused,4,4096,prefill_ms,3548.1003689236113,3549.2135416666665,2.47793305494471,3549.2135416666665,3549.7039062500003,3549.7652018229164,3545.2610677083335,3549.8264973958335
quarot_unfused,4,4096,decode_ms_per_token,184.30537245008682,184.35986328125,0.10656849043001104,184.35986328125,184.37091471354168,184.37229614257814,184.18257649739584,184.3736775716146
quarot_unfused,8,10,prefill_ms,85.23258124457466,85.40475463867188,1.7618749401194183,85.40475463867188,86.60258992513022,86.7523193359375,83.3909403483073,86.9020487467448
quarot_unfused,8,10,decode_ms_per_token,116.59421793619792,115.39651489257812,4.870969944634975,115.39651489257812,120.64116007486979,121.29674072265624,112.43381754557292,121.9523213704427
quarot_unfused,8,128,prefill_ms,219.01586235894098,219.1191609700521,0.3989730626055157,219.1191609700521,219.3062540690104,219.3296407063802,218.57539876302084,219.35302734375
quarot_unfused,8,128,decode_ms_per_token,132.14047580295139,131.9221394856771,20.88034224316923,131.9221394856771,148.88773193359376,151.0084309895833,111.37015787760417,153.1291300455729
quarot_unfused,8,1024,prefill_ms,1469.2420247395833,1469.11767578125,0.46923034922377377,1469.11767578125,1469.6322591145836,1469.69658203125,1468.8474934895833,1469.7609049479167
quarot_unfused,8,1024,decode_ms_per_token,132.98788452148438,132.61233520507812,0.8829545792415043,132.61233520507812,133.71969197591145,133.8581115722656,132.35478719075522,133.99653116861978
quarot_unfused,8,4096,prefill_ms,7286.143229166667,7286.221354166667,0.47811863492597434,7286.221354166667,7286.506249999999,7286.541861979166,7285.630859375,7286.577473958333
quarot_unfused,8,4096,decode_ms_per_token,298.28548855251734,298.306884765625,0.33804281621564175,298.306884765625,298.5512369791667,298.58178100585934,297.937255859375,298.61232503255206
