variant,batch,context_len,metric,mean,median,std,p50,p90,p95,min,max
fp16_manual,1,10,decode_ms_per_token,37.82296651204427,37.81956481933594,0.031716701115674206,37.81956481933594,37.84891052246094,37.852578735351564,37.793087768554685,37.85624694824219
quarot_unfused,1,10,decode_ms_per_token,112.48024495442708,109.89959716796875,5.301541952162125,109.89959716796875,116.84233154296875,117.71017333984375,108.96312255859375,118.57801513671875
fused_quarot,1,10,decode_ms_per_token,40.67157084147135,40.69803466796875,0.0771097800021321,40.69803466796875,40.72517822265625,40.72857116699218,40.584713745117185,40.731964111328125
fp16_manual,1,128,decode_ms_per_token,38.647980753580725,38.236935424804685,0.8167601433082066,38.236935424804685,39.318273315429686,39.45344055175781,38.11839904785156,39.58860778808594
quarot_unfused,1,128,decode_ms_per_token,119.89127604166667,119.28114013671875,1.0661029241993634,119.28114013671875,120.75406005859375,120.93817504882813,119.27039794921875,121.1222900390625
fused_quarot,1,128,decode_ms_per_token,40.89250793457031,40.89094848632813,0.03513796264478177,40.89094848632813,40.92090942382813,40.92465454101563,40.858175659179686,40.928399658203126
fp16_manual,1,1024,decode_ms_per_token,41.173850504557294,41.17650451660156,0.05390187072357158,41.17650451660156,41.21640197753906,41.22138916015625,41.11867065429688,41.226376342773435
quarot_unfused,1,1024,decode_ms_per_token,119.19915771484375,117.5772216796875,6.178051108840733,117.5772216796875,124.3365478515625,125.18146362304688,113.9938720703125,126.02637939453125
fused_quarot,1,1024,decode_ms_per_token,43.83638407389323,44.18901672363281,0.9004533882066763,44.18901672363281,44.44352600097656,44.47533966064453,42.812982177734376,44.5071533203125
fp16_manual,2,10,decode_ms_per_token,38.03920084635416,38.04636840820312,0.033676378012821875,38.04636840820312,38.064246826171875,38.06648162841797,38.00251770019531,38.06871643066406
quarot_unfused,2,10,decode_ms_per_token,113.77367757161458,111.21458740234375,5.1250685007084185,111.21458740234375,117.98238037109375,118.8283544921875,110.43211669921875,119.67432861328125
fused_quarot,2,10,decode_ms_per_token,41.027512613932295,40.96778259277344,0.10613861452882836,40.96778259277344,41.11360290527344,41.13183044433594,40.964697265625,41.15005798339844
fp16_manual,2,128,decode_ms_per_token,38.47026672363281,38.47705078125,0.15517870253279284,38.47705078125,38.5929638671875,38.60745300292969,38.311807250976564,38.621942138671876
quarot_unfused,2,128,decode_ms_per_token,122.69949544270834,121.80443115234375,4.006121297023434,121.80443115234375,126.02283935546876,126.55014038085938,119.21661376953125,127.07744140625
fused_quarot,2,128,decode_ms_per_token,41.306523640950516,41.1572998046875,0.26713078107238897,41.1572998046875,41.52340087890625,41.5691635131836,41.147344970703124,41.614926147460935
fp16_manual,2,1024,decode_ms_per_token,41.3030029296875,41.295266723632814,0.04768522106999302,41.295266723632814,41.34231994628907,41.3482015991211,41.25965881347656,41.35408325195313
quarot_unfused,2,1024,decode_ms_per_token,116.8560302734375,115.90347900390626,1.709335056750081,115.90347900390626,118.24422119140625,118.53681396484376,115.835205078125,118.82940673828125
fused_quarot,2,1024,decode_ms_per_token,42.810018920898436,42.835992431640626,0.05026204843828746,42.835992431640626,42.840782470703125,42.84138122558594,42.75208435058594,42.84197998046875
fp16_manual,4,10,decode_ms_per_token,38.7253916422526,38.710150146484374,0.03886554493300646,38.710150146484374,38.75768432617187,38.76362609863281,38.69645690917969,38.76956787109375
quarot_unfused,4,10,decode_ms_per_token,123.49770507812501,122.59620361328125,5.282662040135567,122.59620361328125,127.85772705078125,128.51541748046876,118.7238037109375,129.17310791015626
fused_quarot,4,10,decode_ms_per_token,41.467316691080725,41.458074951171874,0.030304217585527614,41.458074951171874,41.49254760742187,41.496856689453125,41.442709350585936,41.501165771484374
fp16_manual,4,128,decode_ms_per_token,38.93844401041667,38.90440063476562,0.0819232554689881,38.90440063476562,39.006400146484374,39.01915008544922,38.879031372070315,39.031900024414064
quarot_unfused,4,128,decode_ms_per_token,116.49521891276042,114.893994140625,5.737830757395627,114.893994140625,121.269658203125,122.0666162109375,111.72808837890625,122.86357421875
fused_quarot,4,128,decode_ms_per_token,41.59108378092448,41.596368408203126,0.011035551356667667,41.596368408203126,41.598060302734375,41.598271789550786,41.578399658203125,41.59848327636719
fp16_manual,4,1024,decode_ms_per_token,41.854130045572916,41.80232238769531,0.09237565847269216,41.80232238769531,41.92908996582031,41.944935913085935,41.799285888671875,41.96078186035156
quarot_unfused,4,1024,decode_ms_per_token,116.84896647135416,114.59351806640625,5.370721754062642,114.59351806640625,121.30240478515626,122.14101562500001,112.9737548828125,122.97962646484375
fused_quarot,4,1024,decode_ms_per_token,43.61844380696615,43.49154968261719,0.24896694919567514,43.49154968261719,43.82254333496094,43.86391754150391,43.458489990234376,43.90529174804688
