mode,batch,context_len,metric,mean,median,std,p50,p90,p95,min,max
fp16_hf,1,10,prefill_ms,39.84315151638455,39.608357747395836,0.5752643651953544,39.608357747395836,40.320613606770834,40.409645589192706,39.42241923014323,40.498677571614586
fp16_hf,1,10,decode_ms_per_token,38.43464830186632,38.36540222167969,0.8497317758588462,38.36540222167969,39.12658793131511,39.221736145019534,37.62165832519531,39.31688435872396
fp16_hf,1,128,prefill_ms,61.26405673556857,61.22926330566406,0.397465418947774,61.22926330566406,61.58807271321614,61.63292388916016,60.8851318359375,61.677775065104164
fp16_hf,1,128,decode_ms_per_token,38.037670559353295,38.02247873942057,0.04252109956002177,38.02247873942057,38.073056538899735,38.07937876383463,38.00483194986979,38.08570098876953
fp16_hf,1,1024,prefill_ms,166.40198771158853,166.14342244466147,0.8255846595433327,166.14342244466147,167.08941040039062,167.20765889485676,165.73663330078125,167.3259073893229
fp16_hf,1,1024,decode_ms_per_token,40.53822241889106,40.53990681966146,0.10759579585512079,40.53990681966146,40.62395426432292,40.6344601949056,40.42979431152344,40.64496612548828
fp16_hf,1,4096,prefill_ms,814.7898763020834,819.9524739583334,9.955943853079312,819.9524739583334,820.8738281249999,820.9889973958333,803.31298828125,821.1041666666666
fp16_hf,1,4096,decode_ms_per_token,44.81515672471788,44.73784891764323,0.13447849546164664,44.73784891764323,44.923920694986975,44.94717966715494,44.7371826171875,44.970438639322914
fp16_hf,2,10,prefill_ms,42.99872589111328,42.011454264322914,2.541773767227643,42.011454264322914,45.111104329427086,45.49856058756511,41.098706563313804,45.886016845703125
fp16_hf,2,10,decode_ms_per_token,39.87886725531684,38.32607777913412,2.8447180274966697,38.32607777913412,42.19486643473307,42.67846501668294,38.148460388183594,43.16206359863281
fp16_hf,2,128,prefill_ms,67.74378797743056,67.73243204752605,0.04179249465640323,67.73243204752605,67.77855428059897,67.78431955973306,67.70884704589844,67.79008483886719
fp16_hf,2,128,decode_ms_per_token,38.83297136094835,38.87238311767578,0.09827543859102385,38.87238311767578,38.89881540934245,38.902119445800786,38.721107482910156,38.90542348225912
fp16_hf,2,1024,prefill_ms,326.3086276584201,326.944091796875,1.4305555046151275,326.944091796875,327.23790690104164,327.2746337890625,324.67043050130206,327.3113606770833
fp16_hf,2,1024,decode_ms_per_token,40.97761111789279,40.984474182128906,0.16202514837960003,40.984474182128906,41.105771382649735,41.12093353271484,40.81226348876953,41.136095682779946
fp16_hf,2,4096,prefill_ms,1603.21435546875,1602.0489908854167,3.558704641089051,1602.0489908854167,1606.1775065104168,1606.6935709635418,1600.3844401041667,1607.2096354166667
fp16_hf,2,4096,decode_ms_per_token,48.13700697157118,48.17932637532552,0.3205857917091734,48.17932637532552,48.383330281575525,48.40883076985677,47.79736328125,48.43433125813802
fp16_hf,4,10,prefill_ms,43.57738240559896,43.5794677734375,0.16027832281431362,43.5794677734375,43.705179850260414,43.72089385986329,43.41607157389323,43.73660786946615
fp16_hf,4,10,decode_ms_per_token,38.79910193549262,38.81456502278646,0.18177979169377573,38.81456502278646,38.94103800455729,38.95684712727865,38.610084533691406,38.97265625
fp16_hf,4,128,prefill_ms,97.50448947482639,97.54041544596355,0.12409597577280783,97.54041544596355,97.59341023763021,97.60003458658854,97.36639404296875,97.60665893554688
fp16_hf,4,128,decode_ms_per_token,41.307827419704864,39.41350555419922,3.3180736062427605,39.41350555419922,43.99400482177734,44.56656723022461,39.37084706624349,45.139129638671875
fp16_hf,4,1024,prefill_ms,689.9289008246528,689.9927571614584,0.5087922993011114,689.9927571614584,690.320751953125,690.3617513020833,689.3911946614584,690.4027506510416
fp16_hf,4,1024,decode_ms_per_token,43.73467678493924,42.291699727376304,2.5974875040041487,42.291699727376304,45.84497324625651,46.28913243611654,42.179039001464844,46.73329162597656
fp16_hf,4,4096,prefill_ms,3203.1641710069443,3204.1722005208335,3.1338126528376096,3204.1722005208335,3205.3703776041666,3205.5201497395838,3199.650390625,3205.669921875
fp16_hf,4,4096,decode_ms_per_token,55.87229580349393,54.75953165690104,2.1191869577709155,54.75953165690104,57.60476684570313,57.96042124430338,54.541280110677086,58.31607564290365
fp16_hf,8,10,prefill_ms,51.35203891330295,51.361063639322914,0.15777883851405666,51.361063639322914,51.47630208333334,51.49070688883464,51.18994140625,51.50511169433594
fp16_hf,8,10,decode_ms_per_token,39.37139553493923,39.31782786051432,0.10699195004748052,39.31782786051432,39.45923817952474,39.476914469401045,39.30176798502604,39.494590759277344
fp16_hf,8,128,prefill_ms,158.9847174750434,158.95616658528647,0.12333319138111037,158.95616658528647,159.08709106445312,159.10345662434895,158.87816365559897,159.11982218424478
fp16_hf,8,128,decode_ms_per_token,41.097826639811196,41.109700520833336,0.03680383080375053,41.109700520833336,41.123722330729166,41.125475056966145,41.05655161539713,41.127227783203125
fp16_hf,8,1024,prefill_ms,1336.2172309027778,1336.3419596354167,0.23503282325289462,1336.3419596354167,1336.35927734375,1336.3614420572915,1335.9461263020833,1336.3636067708333
fp16_hf,8,1024,decode_ms_per_token,47.30784946017795,47.277262369791664,0.1010746362482674,47.277262369791664,47.39200032552083,47.40634256998698,47.22560119628906,47.420684814453125
fp16_hf,8,4096,prefill_ms,6366.955729166667,6367.253255208333,1.249193227874289,6367.253255208333,6367.874088541666,6367.951692708333,6365.584635416667,6368.029296875
fp16_hf,8,4096,decode_ms_per_token,71.19080268012154,71.23975626627605,0.09050932378936476,71.23975626627605,71.24498494466145,71.24563852945964,71.08635965983073,71.24629211425781
