variant,batch,context_len,stage,metric,algorithmic_ops,stage_ms,value
fused_hadacore256,4,1024,q_proj,effective_TFLOPs,4294967296,2.599287005762259,1.6523636237470711
fused_hadacore256,4,1024,k_proj,effective_TFLOPs,1073741824,1.1941423304378986,0.8991740738361171
fused_hadacore256,4,1024,v_proj,effective_TFLOPs,1073741824,1.2124699999888737,0.8855821785362551
fused_hadacore256,4,1024,o_proj_residual,effective_TFLOPs,4294967296,4.5160796691974,0.9510388679133519
fused_hadacore256,4,1024,gate_proj,effective_TFLOPs,15032385536,10.21133334438006,1.4721275889277738
fused_hadacore256,4,1024,up_proj,effective_TFLOPs,15032385536,8.526946713527044,1.762927111078671
fused_hadacore256,4,1024,down_proj_residual,effective_TFLOPs,15032385536,8.54897697766622,1.7583841406137093
fused_hadacore256,4,1024,final_norm_lm_head,effective_TFLOPs,4202692608,1.9074183305104573,2.203340788318464
fused_hadacore256,4,1024,K1,effective_Hadamard_TOPS,1835008,0.9500253396108747,0.001931535848034969
fused_hadacore256,4,1024,K3,effective_Hadamard_TOPS,4194304,0.3594340017686288,0.01166919094843986
fused_hadacore256,4,1024,FFN,effective_Hadamard_TOPS,14680064,0.3026773339758317,0.048500704718022196
unfused_INT4,1,128,q_proj,effective_TFLOPs,1073741824,2.634270004928112,0.4076050754065743
unfused_INT4,1,128,k_proj,effective_TFLOPs,268435456,1.454012009004752,0.1846170831723321
unfused_INT4,1,128,v_proj,effective_TFLOPs,268435456,1.804014661659797,0.14879893257243484
unfused_INT4,1,128,o_proj_residual,effective_TFLOPs,1073741824,4.8861759925882025,0.21975095158847113
unfused_INT4,1,128,gate_proj,effective_TFLOPs,3758096384,11.253824601570765,0.3339394843132227
unfused_INT4,1,128,up_proj,effective_TFLOPs,3758096384,8.389745642741522,0.44793925156138165
unfused_INT4,1,128,down_proj_residual,effective_TFLOPs,3758096384,10.146335651477179,0.37038951924016716
unfused_INT4,1,128,final_norm_lm_head,effective_TFLOPs,1050673152,1.8966636260350545,0.5539586132077704
unfused_INT4,1,128,K1,effective_Hadamard_TOPS,458752,36.93663430213928,1.2419972979872457e-05
unfused_INT4,1,128,K3,effective_Hadamard_TOPS,1048576,18.543749655286472,5.6546061044405374e-05
unfused_INT4,1,128,FFN,effective_Hadamard_TOPS,3670016,8.379095335801443,0.00043799668734154226
