variant,reference,batch,context_len,max_error,mean_error,mean_relative_error,top1_match,top10_overlap,kl_ref_to_out,has_nan_or_inf
fused_current,unfused_INT4,1,128,1.2265625,0.20470452308654785,1.8396466970443726,1.0,0.9,0.017974184826016426,0
fused_hadacore256,unfused_INT4,1,128,1.328125,0.1889793425798416,1.189345121383667,1.0,0.9,0.01848357543349266,0
fused_current,unfused_INT4,1,4096,0.994140625,0.129346564412117,0.7003485560417175,1.0,1.0,0.00518754031509161,0
fused_hadacore256,unfused_INT4,1,4096,0.822265625,0.13076815009117126,1.0268425941467285,1.0,1.0,0.0038314824923872948,0
fused_current,unfused_INT4,4,1024,1.12890625,0.14014708995819092,0.8702250123023987,1.0,0.95,0.0119869913905859,0
fused_hadacore256,unfused_INT4,4,1024,0.95703125,0.13734903931617737,0.9768295288085938,1.0,0.975,0.005007208790630102,0
