variant,batch,context_len,samples,mean,median,std,p50,p90,p95,min,max,tokens_per_second,speedup_vs_unfused_INT4,coefficient_of_variation_percent
fused_current,1,10,15,40.89788850911458,40.4362890625,1.0252420063884313,40.4362890625,41.723838867187496,42.625966308593746,40.37232666015625,44.221962890625,24.451140057686306,2.6768743437486533,2.506833589122685
fused_hadacore256,1,10,15,40.42819970703125,40.4281005859375,0.019046127265318676,40.4281005859375,40.44829931640625,40.454053222656256,40.4019189453125,40.46650146484375,24.735209760678032,2.7079738711318684,0.047110995303622644
unfused_INT4,1,10,15,109.47850846354167,109.71134765625,1.1251609125465714,109.71134765625,110.717640625,110.8249638671875,107.230263671875,110.973994140625,9.134212860901537,1.0,1.02774592779666
fused_current,1,128,15,40.716534016927085,40.6180029296875,0.2026658212726657,40.6180029296875,41.0611181640625,41.10443212890625,40.584423828125,41.187451171875,24.56004726689826,2.7154948334858577,0.4977482149841424
fused_hadacore256,1,128,15,40.96350390625,40.67076416015625,0.5224729757564162,40.67076416015625,41.72043359375,41.9554140625,40.5954248046875,42.2094921875,24.41197418777023,2.6991230538642266,1.2754596797973135
unfused_INT4,1,128,15,110.56553776041666,109.679248046875,1.997098433039891,109.679248046875,113.20896875,113.47649121093751,108.076640625,113.856494140625,9.044409499159583,1.0,1.806257603854271
fused_current,1,1024,15,42.37663216145833,42.288583984375,0.2374815261114097,42.288583984375,42.61094140625001,42.879891601562505,42.235078125,43.09203125,23.59791113625832,2.579402953490591,0.5604067949680056
fused_hadacore256,1,1024,15,42.60341666666667,42.32662109375,1.0870063081070032,42.32662109375,42.3555966796875,43.610727539062495,42.2792529296875,46.5318603515625,23.472295844816827,2.5656723969223902,2.551453364906969
unfused_INT4,1,1024,15,109.30641015625,109.384697265625,1.187883671661512,109.384697265625,110.8048515625,111.051837890625,107.72546875,111.1734765625,9.14859429168456,1.0,1.0867465777747807
fused_current,1,4096,15,48.081877278645834,48.09009765625,0.021850447352995763,48.09009765625,48.099568359375,48.1068603515625,48.0387890625,48.1209765625,20.797856835014237,2.269225656997155,0.04544424758286217
fused_hadacore256,1,4096,15,48.12679296875,48.1104833984375,0.0781557844316666,48.1104833984375,48.1890654296875,48.263255859375,48.0476123046875,48.3645166015625,20.778446647158194,2.267107838000732,0.16239557969801813
unfused_INT4,1,4096,15,109.10862955729166,108.7826953125,0.6912981479589401,108.7826953125,110.05533203125,110.193544921875,107.9880078125,110.2536328125,9.165177897087524,1.0,0.6335870505970818
fused_current,2,10,15,40.83348372395833,40.81796630859375,0.06788018072109764,40.81796630859375,40.84046484375,40.91100439453125,40.78849365234375,41.0717138671875,48.979411443813085,2.664374115586405,0.1662365650209515
fused_hadacore256,2,10,15,40.83648958333333,40.83777587890625,0.020000001274403694,40.83777587890625,40.85778076171874,40.8584423828125,40.79881591796875,40.85880126953125,48.97580620681616,2.6641779984863416,0.048975809327563576
unfused_INT4,2,10,15,108.79567708333333,108.272841796875,1.216572900981727,108.272841796875,110.395814453125,110.4948134765625,107.103779296875,110.65130859375,18.38308335052758,1.0,1.118218052037011
fused_current,2,128,15,40.95542692057292,40.9899267578125,0.05852841136510978,40.9899267578125,41.004300781249995,41.006107421875,40.8634619140625,41.00923828125,48.8335771442136,2.6704373489943927,0.14290758457631783
fused_hadacore256,2,128,15,40.979763183593754,41.0093310546875,0.05303907310149137,41.0093310546875,41.02380078125,41.02599609375,40.89108154296875,41.030302734375,48.80457681123691,2.6688514817112017,0.12942747585892728
unfused_INT4,2,128,15,109.36890169270833,109.47748046875,0.9718343792093268,109.47748046875,110.42861328125,110.712603515625,107.09794921875,110.8083203125,18.2867338799777,1.0,0.8885838334007146
fused_current,2,1024,15,42.82972037760417,42.5018994140625,0.8752019499667697,42.5018994140625,43.849357421875,44.877639648437494,42.4830078125,45.21349609375,46.696545818352064,2.554064457391572,2.043445397846716
fused_hadacore256,2,1024,15,42.52544661458333,42.5235693359375,0.01853673933554704,42.5235693359375,42.5447373046875,42.54854296875,42.491748046875,42.5559326171875,47.03066420739568,2.572339040384001,0.04358975815950679
unfused_INT4,2,1024,15,109.38986653645833,109.16193359375,1.0693120005236976,109.16193359375,110.705048828125,110.73250488281249,107.821689453125,110.7459375,18.283229181319314,1.0,0.9775238185954901
fused_current,2,4096,15,48.259543294270834,48.251318359375,0.04333829561752537,48.251318359375,48.2842265625,48.322775878906256,48.2165966796875,48.3990478515625,41.44258033700521,2.7280956553572424,0.08980253988990879
fused_hadacore256,2,4096,15,48.308848958333336,48.3065576171875,0.039089503233994176,48.3065576171875,48.338091796875005,48.36171826171875,48.2484619140625,48.4141943359375,41.40028262161683,2.7253112675936375,0.0809158240712982
unfused_INT4,2,4096,15,131.656650390625,131.60888671875,0.09421423211886815,131.60888671875,131.79355859375,131.806513671875,131.571796875,131.81833984375,15.191029044609628,1.0,0.07156055682666597
fused_current,4,10,15,41.143456705729164,41.141240234375,0.01256816472583812,41.141240234375,41.157560546875004,41.161139648437505,41.1172607421875,41.16400390625,97.22080545174528,2.6397904676440214,0.030547177442404885
fused_hadacore256,4,10,15,41.16878157552083,41.164228515625,0.022185546809497098,41.164228515625,41.197274414062505,41.199481933593745,41.133193359375,41.20427734375,97.16100032405187,2.638166607347167,0.05388924801867038
unfused_INT4,4,10,15,108.61010481770833,109.0264453125,1.264372331597276,109.0264453125,109.45519921875,109.610421875,105.153828125,109.9704296875,36.82898572571693,1.0,1.1641387638096878
fused_current,4,128,15,41.52793782552084,41.4426708984375,0.3344209805779193,41.4426708984375,41.459340820312505,41.842904296875,41.416162109375,42.7359716796875,96.32069901486452,2.6332078073225436,0.8052915653625405
fused_hadacore256,4,128,15,41.52529557291667,41.4646142578125,0.25069708969939086,41.4646142578125,41.4840927734375,41.769068359375,41.42828125,42.4294677734375,96.32682789641241,2.633375358211471,0.6037213853401172
unfused_INT4,4,128,15,109.35169010416666,109.59794921875,1.164087029042105,109.59794921875,110.22891796874998,110.3872119140625,105.519423828125,110.475634765625,36.579224300874216,1.0,1.064535013526736
fused_current,4,1024,15,43.274781250000004,43.0621826171875,0.6678299907028689,43.0621826171875,43.440066406250004,44.260033203125,43.0398291015625,45.619755859375,92.43258739753882,2.5049782861650325,1.543231349558512
fused_hadacore256,4,1024,15,43.24305891927083,43.0842822265625,0.6212684733668792,43.0842822265625,43.1033935546875,43.8189990234375,43.0584716796875,45.4882666015625,92.50039428217787,2.506815893208777,1.436689468538076
unfused_INT4,4,1024,15,108.40238736979167,108.095048828125,1.4957117693587934,108.095048828125,110.583029296875,110.60453320312499,105.384580078125,110.611943359375,36.899556338688846,1.0,1.3797775174973692
fused_current,4,4096,15,49.06793294270833,49.05763671875,0.03498884006910793,49.05763671875,49.098656250000005,49.1257119140625,49.0389013671875,49.17501953125,81.51963533231358,3.7118410919066895,0.071306937078358
fused_hadacore256,4,4096,15,49.1013466796875,49.1041943359375,0.03921201576251087,49.1041943359375,49.1338330078125,49.165792480468745,49.0512353515625,49.2063671875,81.46416077127148,3.7093151635902517,0.07985934890607042
unfused_INT4,4,4096,15,182.13236979166666,182.10234375,0.05509228564455093,182.10234375,182.20334765625,182.206458984375,182.06796875,182.2102734375,21.96204883610435,1.0,0.03024848669545595
fused_current,8,10,15,42.262611653645834,42.256875,0.03375338693137795,42.256875,42.2687861328125,42.3017607421875,42.23455078125,42.3782958984375,189.2926084540701,2.5829167133396136,0.07986583320500065
fused_hadacore256,8,10,15,42.288275390625,42.2879345703125,0.026514901554743637,42.2879345703125,42.322095703125,42.32697412109375,42.2517626953125,42.3299169921875,189.17773132392958,2.581349203325125,0.06270036153004667
unfused_INT4,8,10,15,109.16080598958334,109.222861328125,1.057367867720527,109.222861328125,110.592470703125,110.7802333984375,106.671962890625,110.7932421875,73.28637717060644,1.0,0.9686332545230806
fused_current,8,128,15,42.85921614583334,42.5392529296875,0.841828519549419,42.5392529296875,43.920666015625,44.864884277343755,42.5077587890625,45.0800146484375,186.65763677942905,2.558194634820313,1.9641715254077492
fused_hadacore256,8,128,15,42.55864453125,42.557373046875,0.014654265930313324,42.557373046875,42.5708564453125,42.58380078125,42.5405810546875,42.6016357421875,187.97591154778794,2.576261955814095,0.03443311245392925
