variant,batch,context_len,repeat,decode_ms_per_token,decode_tokens_per_sec
fp16_manual,1,4096,0,50.954229736328124,19.625456123557964
fp16_manual,1,4096,1,50.8133544921875,19.67986585403939
fp16_manual,1,4096,2,50.75206298828125,19.703632544570688
quarot_unfused,1,4096,0,110.00802001953124,9.090246327699164
quarot_unfused,1,4096,1,112.36846923828125,8.899293607706493
quarot_unfused,1,4096,2,115.69066162109375,8.643740004488583
fused_quarot,1,4096,0,48.11735534667969,20.78252208158827
fused_quarot,1,4096,1,48.18150024414062,20.75485393632197
fused_quarot,1,4096,2,48.106771850585936,20.78709423916209
