variant,batch,context_len,metric,mean,median,std,p50,p90,p95,min,max
fp16_manual,1,4096,decode_ms_per_token,50.839882405598956,50.8133544921875,0.10366120849399799,50.8133544921875,50.9260546875,50.940142211914065,50.75206298828125,50.954229736328124
quarot_unfused,1,4096,decode_ms_per_token,112.68905029296874,112.36846923828125,2.8548525447771627,112.36846923828125,115.02622314453126,115.35844238281251,110.00802001953124,115.69066162109375
fused_quarot,1,4096,decode_ms_per_token,48.13520914713541,48.11735534667969,0.04043701081745188,48.11735534667969,48.16867126464844,48.17508575439453,48.106771850585936,48.18150024414062
