batch,seq_len,ffn_hidden,variant,latency_ms,speedup_vs_unfused
1,10,11008,quarot_unfused,4.249839782714844,1.0
1,10,11008,k1_fused,2.5040063858032227,1.6972160321993752
1,10,11008,k1_k2_fused,2.306010437011719,1.842940393722618
1,10,11008,attention_fused,1.6023174285888673,2.6523082798004656
1,10,11008,fused_quarot,0.9596373558044433,4.428589359313023
1,10,14336,quarot_unfused,5.205341720581055,1.0
1,10,14336,k1_fused,2.825373649597168,1.8423551594045675
1,10,14336,k1_k2_fused,2.3534561157226563,2.2117861836496124
1,10,14336,attention_fused,1.6388261795043946,3.176262245307326
1,10,14336,fused_quarot,1.1400300025939942,4.565969061109758
1,128,11008,quarot_unfused,4.730366134643555,1.0
1,128,11008,k1_fused,2.6131614685058593,1.8102081297518369
1,128,11008,k1_k2_fused,2.3957441329956053,1.9744872039940136
1,128,11008,attention_fused,1.650251579284668,2.8664515120137137
1,128,11008,fused_quarot,0.9722353935241699,4.8654535374369265
1,128,14336,quarot_unfused,5.5379680633544925,1.0
1,128,14336,k1_fused,5.54273567199707,0.9991398455700018
1,128,14336,k1_k2_fused,2.7828195571899412,1.9900564695422323
1,128,14336,attention_fused,1.6389289855957032,3.3790164870027004
1,128,14336,fused_quarot,1.0804420471191407,5.1256502633535685
1,1024,11008,quarot_unfused,4.306132888793945,1.0
1,1024,11008,k1_fused,2.611284637451172,1.6490476859684988
1,1024,11008,k1_k2_fused,3.0364513397216797,1.4181465161199138
1,1024,11008,attention_fused,1.6167259216308594,2.6634897301888794
1,1024,11008,fused_quarot,1.008786964416504,4.268624636009914
1,1024,14336,quarot_unfused,5.145024108886719,1.0
1,1024,14336,k1_fused,2.5230390548706056,2.0392169906979825
1,1024,14336,k1_k2_fused,2.5226844787597655,2.0395036129988724
1,1024,14336,attention_fused,1.6294679641723633,3.1574871197298875
1,1024,14336,fused_quarot,1.1301538467407226,4.5524988688262
1,4096,11008,quarot_unfused,5.706100082397461,1.0
1,4096,11008,k1_fused,4.753024291992188,1.200519865217394
1,4096,11008,k1_k2_fused,2.3408180236816407,2.4376521475270003
1,4096,11008,attention_fused,1.6122028350830078,3.5393189729155075
1,4096,11008,fused_quarot,1.1734527587890624,4.862658543055313
1,4096,14336,quarot_unfused,5.795779037475586,1.0
1,4096,14336,k1_fused,4.871270751953125,1.189787908042636
1,4096,14336,k1_k2_fused,2.46523494720459,2.351004736504976
1,4096,14336,attention_fused,1.7753841400146484,3.2645211291725102
1,4096,14336,fused_quarot,1.291732406616211,4.486826379666404
2,10,11008,quarot_unfused,4.647209930419922,1.0
2,10,11008,k1_fused,2.7781389236450194,1.672778092868953
2,10,11008,k1_k2_fused,2.5685768127441406,1.8092548010877167
2,10,11008,attention_fused,1.7849817276000977,2.6035056037621636
2,10,11008,fused_quarot,0.973934555053711,4.77158337416587
2,10,14336,quarot_unfused,5.009144973754883,1.0
2,10,14336,k1_fused,2.7671377182006838,1.8102261195051947
2,10,14336,k1_k2_fused,2.5517013549804686,1.9630608276230759
2,10,14336,attention_fused,1.7617616653442383,2.8432591492312467
2,10,14336,fused_quarot,1.0887734413146972,4.600722963729098
2,128,11008,quarot_unfused,4.461281585693359,1.0
2,128,11008,k1_fused,2.5925678253173827,1.720796479122859
2,128,11008,k1_k2_fused,3.1839004516601563,1.4012000856895974
2,128,11008,attention_fused,1.6087722778320312,2.773097005192896
2,128,11008,fused_quarot,0.9709600448608399,4.594711810549073
2,128,14336,quarot_unfused,5.743940353393555,1.0
2,128,14336,k1_fused,2.5912023544311524,2.216708526669475
2,128,14336,k1_k2_fused,2.385120964050293,2.40823859249448
2,128,14336,attention_fused,1.6672845840454102,3.44508694457953
2,128,14336,fused_quarot,1.0888660430908204,5.2751579405387545
2,1024,11008,quarot_unfused,4.732444763183594,1.0
2,1024,11008,k1_fused,3.6598190307617187,1.2930816314703488
2,1024,11008,k1_k2_fused,2.3678205490112303,1.9986500941381722
2,1024,11008,attention_fused,1.6441682815551757,2.878321408017492
2,1024,11008,fused_quarot,1.0148316383361817,4.663280670813974
2,1024,14336,quarot_unfused,4.359528350830078,1.0
2,1024,14336,k1_fused,3.0414833068847655,1.4333560013174356
2,1024,14336,k1_k2_fused,2.337815856933594,1.8647868855454988
2,1024,14336,attention_fused,1.6287458419799805,2.6766167184994494
2,1024,14336,fused_quarot,1.1247570037841796,3.8759735090892504
2,4096,11008,quarot_unfused,8.6088623046875,1.0
2,4096,11008,k1_fused,7.827761840820313,1.0997859260093856
2,4096,11008,k1_k2_fused,2.340011978149414,3.6789821526878566
2,4096,11008,attention_fused,1.6220743179321289,5.307316816200103
2,4096,11008,fused_quarot,1.185753631591797,7.260245362378241
2,4096,14336,quarot_unfused,8.728995513916015,1.0
2,4096,14336,k1_fused,7.941322326660156,1.09918665366491
2,4096,14336,k1_k2_fused,2.3593137741088865,3.699802717937744
2,4096,14336,attention_fused,1.7866594314575195,4.885651602216703
2,4096,14336,fused_quarot,1.2972922325134277,6.72862697790466
4,10,11008,quarot_unfused,4.662900924682617,1.0
4,10,11008,k1_fused,2.7931564331054686,1.6694019960415685
4,10,11008,k1_k2_fused,2.884059715270996,1.6167837649105248
4,10,11008,attention_fused,1.780354118347168,2.6190862124730145
4,10,11008,fused_quarot,0.9839690208435059,4.73886964519
4,10,14336,quarot_unfused,5.184699249267578,1.0
4,10,14336,k1_fused,2.8130638122558596,1.8430791461889557
4,10,14336,k1_k2_fused,2.5637332916259767,2.0223239547586975
4,10,14336,attention_fused,1.84517822265625,2.8098636682389833
4,10,14336,fused_quarot,1.1121394157409668,4.661914842585859
4,128,11008,quarot_unfused,6.553679656982422,1.0
4,128,11008,k1_fused,2.732538414001465,2.3983851877073405
4,128,11008,k1_k2_fused,2.8784460067749023,2.276811738541298
4,128,11008,attention_fused,1.629629135131836,4.021577373463094
4,128,11008,fused_quarot,0.9857831954956054,6.648195756357502
4,128,14336,quarot_unfused,4.400465774536133,1.0
4,128,14336,k1_fused,2.5567300796508787,1.7211303647419112
4,128,14336,k1_k2_fused,2.3507017135620116,1.8719796515007936
4,128,14336,attention_fused,2.6473121643066406,1.6622390943792085
4,128,14336,fused_quarot,1.1633002281188964,3.7827429825676764
4,1024,11008,quarot_unfused,5.264708709716797,1.0
4,1024,11008,k1_fused,4.488027191162109,1.1730563308716446
4,1024,11008,k1_k2_fused,2.3353885650634765,2.2543180986987923
4,1024,11008,attention_fused,1.6181209564208985,3.2535940461223247
4,1024,11008,fused_quarot,1.0275507926940919,5.123550823131069
4,1024,14336,quarot_unfused,5.39163818359375,1.0
4,1024,14336,k1_fused,4.597283554077149,1.1727878257176718
4,1024,14336,k1_k2_fused,2.592268180847168,2.079892128225611
4,1024,14336,attention_fused,1.621905517578125,3.324261570824851
4,1024,14336,fused_quarot,1.1391070365905762,4.7332147115263945
4,4096,11008,quarot_unfused,14.815583801269531,1.0
4,4096,11008,k1_fused,13.953756713867188,1.0617630868213335
4,4096,11008,k1_k2_fused,2.3847784042358398,6.212562045577951
4,4096,11008,attention_fused,1.9592336654663085,7.5619279427517085
4,4096,11008,fused_quarot,1.2044424057006835,12.30078227995516
4,4096,14336,quarot_unfused,14.899111938476562,1.0
4,4096,14336,k1_fused,14.06624755859375,1.0592101323692384
4,4096,14336,k1_k2_fused,2.345713806152344,6.35163245379685
4,4096,14336,attention_fused,1.6300880432128906,9.140065777741999
4,4096,14336,fused_quarot,1.3163636207580567,11.318386275288118
8,10,11008,quarot_unfused,4.6327880859375,1.0
8,10,11008,k1_fused,2.7140026092529297,1.7069947059530446
8,10,11008,k1_k2_fused,2.3852912902832033,1.9422315860581765
8,10,11008,attention_fused,1.6583839416503907,2.79355580428923
8,10,11008,fused_quarot,1.7994155883789062,2.5746070645698804
8,10,14336,quarot_unfused,5.15643196105957,1.0
8,10,14336,k1_fused,2.871717643737793,1.7955915590461813
8,10,14336,k1_k2_fused,2.5108434677124025,2.0536652433206157
8,10,14336,attention_fused,1.8992109298706055,2.7150391143815087
8,10,14336,fused_quarot,1.1487425804138183,4.488761928892754
8,128,11008,quarot_unfused,4.378774642944336,1.0
8,128,11008,k1_fused,2.6234716415405273,1.669076415239266
8,128,11008,k1_k2_fused,2.404751014709473,1.820884830138372
8,128,11008,attention_fused,1.6733198165893555,2.6168187333544966
8,128,11008,fused_quarot,1.015464973449707,4.312088311691239
8,128,14336,quarot_unfused,4.39244270324707,1.0
8,128,14336,k1_fused,2.613500785827637,1.6806739554341028
8,128,14336,k1_k2_fused,2.4137176513671874,1.8197831468643757
8,128,14336,attention_fused,1.6807981491088868,2.6133076750327358
8,128,14336,fused_quarot,1.1251914024353027,3.9037293510600133
8,1024,11008,quarot_unfused,8.556547546386719,1.0
8,1024,11008,k1_fused,7.722303009033203,1.108030536535235
8,1024,11008,k1_k2_fused,2.346637725830078,3.646301025591841
8,1024,11008,attention_fused,1.6629625320434571,5.145364000397765
8,1024,11008,fused_quarot,1.0582398414611816,8.085641091127442
8,1024,14336,quarot_unfused,8.638270568847656,1.0
8,1024,14336,k1_fused,7.839118194580078,1.1019441669880812
8,1024,14336,k1_k2_fused,2.3295278549194336,3.7081636738558807
8,1024,14336,attention_fused,1.6175872802734375,5.340219148723424
8,1024,14336,fused_quarot,1.2136513710021972,7.117588110755751
8,4096,11008,quarot_unfused,27.533758544921874,1.0
8,4096,11008,k1_fused,26.669140625,1.0324201642669868
8,4096,11008,k1_k2_fused,2.3374656677246093,11.779321050616513
8,4096,11008,attention_fused,1.6153091430664062,17.045504052960062
8,4096,11008,fused_quarot,1.2800581932067872,21.50977095497871
8,4096,14336,quarot_unfused,27.607803344726562,1.0
8,4096,14336,k1_fused,26.777407836914062,1.0310110490481366
